item;session;topright_image;topleft_image;bottomright_image;bottomleft_image;audiofile;condition
213;2;images/tar_f53.png;images/dtar_f53.png;images/comp_f53.png;images/dcomp_f53.png;sounds/filler_53.wav;filler
8;2;images/target_8.png;images/discomp_8.png;images/distarget_8.png;images/competitor_8.png;sounds/nested_long_8.wav;nested_long
53;2;images/discomp_13.png;images/target_13.png;images/competitor_13.png;images/distarget_13.png;sounds/nested_short_13.wav;nested_short
119;2;images/target_39.png;images/discomp_39.png;images/distarget_39.png;images/competitor_39.png;sounds/linear_long_39.wav;linear_long
156;2;images/discomp_36.png;images/target_36.png;images/competitor_36.png;images/distarget_36.png;sounds/linear_short_36.wav;linear_short
83;2;images/distarget_3.png;images/discomp_3.png;images/target_3.png;images/competitor_3.png;sounds/linear_long_3.wav;linear_long
174;2;images/tar_f14.png;images/dtar_f14.png;images/comp_f14.png;images/dcomp_f14.png;sounds/filler_14.wav;filler
78;2;images/distarget_38.png;images/competitor_38.png;images/target_38.png;images/discomp_38.png;sounds/nested_short_38.wav;nested_short
103;2;images/discomp_23.png;images/target_23.png;images/distarget_23.png;images/competitor_23.png;sounds/linear_long_23.wav;linear_long
198;2;images/tar_f38.png;images/dtar_f38.png;images/comp_f38.png;images/dcomp_f38.png;sounds/filler_38.wav;filler
238;2;images/tar_f78.png;images/dtar_f78.png;images/comp_f78.png;images/dcomp_f78.png;sounds/filler_78.wav;filler
32;2;images/discomp_32.png;images/distarget_32.png;images/target_32.png;images/competitor_32.png;sounds/nested_long_32.wav;nested_long
52;2;images/discomp_12.png;images/target_12.png;images/competitor_12.png;images/distarget_12.png;sounds/nested_short_12.wav;nested_short
217;2;images/tar_f57.png;images/dtar_f57.png;images/comp_f57.png;images/dcomp_f57.png;sounds/filler_57.wav;filler
3;2;images/target_3.png;images/discomp_3.png;images/distarget_3.png;images/competitor_3.png;sounds/nested_long_3.wav;nested_long
140;2;images/distarget_20.png;images/competitor_20.png;images/target_20.png;images/discomp_20.png;sounds/linear_short_20.wav;linear_short
240;2;images/tar_f80.png;images/dtar_f80.png;images/comp_f80.png;images/dcomp_f80.png;sounds/filler_80.wav;filler
68;2;images/target_28.png;images/discomp_28.png;images/competitor_28.png;images/distarget_28.png;sounds/nested_short_28.wav;nested_short
101;2;images/discomp_21.png;images/target_21.png;images/distarget_21.png;images/competitor_21.png;sounds/linear_long_21.wav;linear_long
135;2;images/target_15.png;images/discomp_15.png;images/distarget_15.png;images/competitor_15.png;sounds/linear_short_15.wav;linear_short
116;2;images/discomp_36.png;images/competitor_36.png;images/target_36.png;images/distarget_36.png;sounds/linear_long_36.wav;linear_long
148;2;images/target_28.png;images/distarget_28.png;images/discomp_28.png;images/competitor_28.png;sounds/linear_short_28.wav;linear_short
166;2;images/tar_f6.png;images/dtar_f6.png;images/comp_f6.png;images/dcomp_f6.png;sounds/filler_6.wav;filler
129;2;images/discomp_9.png;images/competitor_9.png;images/target_9.png;images/distarget_9.png;sounds/linear_short_9.wav;linear_short
141;2;images/target_21.png;images/discomp_21.png;images/competitor_21.png;images/distarget_21.png;sounds/linear_short_21.wav;linear_short
194;2;images/tar_f34.png;images/dtar_f34.png;images/comp_f34.png;images/dcomp_f34.png;sounds/filler_34.wav;filler
224;2;images/tar_f64.png;images/dtar_f64.png;images/comp_f64.png;images/dcomp_f64.png;sounds/filler_64.wav;filler
62;2;images/competitor_22.png;images/target_22.png;images/distarget_22.png;images/discomp_22.png;sounds/nested_short_22.wav;nested_short
118;2;images/target_38.png;images/discomp_38.png;images/competitor_38.png;images/distarget_38.png;sounds/linear_long_38.wav;linear_long
25;2;images/discomp_25.png;images/target_25.png;images/distarget_25.png;images/competitor_25.png;sounds/nested_long_25.wav;nested_long
187;2;images/tar_f27.png;images/dtar_f27.png;images/comp_f27.png;images/dcomp_f27.png;sounds/filler_27.wav;filler
200;2;images/tar_f40.png;images/dtar_f40.png;images/comp_f40.png;images/dcomp_f40.png;sounds/filler_40.wav;filler
86;2;images/competitor_6.png;images/distarget_6.png;images/target_6.png;images/discomp_6.png;sounds/linear_long_6.wav;linear_long
112;2;images/discomp_32.png;images/target_32.png;images/distarget_32.png;images/competitor_32.png;sounds/linear_long_32.wav;linear_long
164;2;images/tar_f4.png;images/dtar_f4.png;images/comp_f4.png;images/dcomp_f4.png;sounds/filler_4.wav;filler
203;2;images/tar_f43.png;images/dtar_f43.png;images/comp_f43.png;images/dcomp_f43.png;sounds/filler_43.wav;filler
37;2;images/competitor_37.png;images/distarget_37.png;images/target_37.png;images/discomp_37.png;sounds/nested_long_37.wav;nested_long
161;2;images/tar_f1.png;images/dtar_f1.png;images/comp_f1.png;images/dcomp_f1.png;sounds/filler_1.wav;filler
1;2;images/target_1.png;images/discomp_1.png;images/distarget_1.png;images/competitor_1.png;sounds/nested_long_1.wav;nested_long
72;2;images/distarget_32.png;images/target_32.png;images/discomp_32.png;images/competitor_32.png;sounds/nested_short_32.wav;nested_short
220;2;images/tar_f60.png;images/dtar_f60.png;images/comp_f60.png;images/dcomp_f60.png;sounds/filler_60.wav;filler
175;2;images/tar_f15.png;images/dtar_f15.png;images/comp_f15.png;images/dcomp_f15.png;sounds/filler_15.wav;filler
163;2;images/tar_f3.png;images/dtar_f3.png;images/comp_f3.png;images/dcomp_f3.png;sounds/filler_3.wav;filler
