item;session;topright_image;topleft_image;bottomright_image;bottomleft_image;audiofile;condition
117;1;images/distarget_37.png;images/competitor_37.png;images/discomp_37.png;images/target_37.png;sounds/linear_long_37.wav;linear_long
138;1;images/discomp_18.png;images/target_18.png;images/competitor_18.png;images/distarget_18.png;sounds/linear_short_18.wav;linear_short
197;1;images/tar_f37.png;images/dtar_f37.png;images/comp_f37.png;images/dcomp_f37.png;sounds/filler_37.wav;filler
201;1;images/tar_f41.png;images/dtar_f41.png;images/comp_f41.png;images/dcomp_f41.png;sounds/filler_41.wav;filler
24;1;images/discomp_24.png;images/distarget_24.png;images/competitor_24.png;images/target_24.png;sounds/nested_long_24.wav;nested_long
134;1;images/distarget_14.png;images/discomp_14.png;images/competitor_14.png;images/target_14.png;sounds/linear_short_14.wav;linear_short
216;1;images/tar_f56.png;images/dtar_f56.png;images/comp_f56.png;images/dcomp_f56.png;sounds/filler_56.wav;filler
181;1;images/tar_f21.png;images/dtar_f21.png;images/comp_f21.png;images/dcomp_f21.png;sounds/filler_21.wav;filler
89;1;images/distarget_9.png;images/discomp_9.png;images/competitor_9.png;images/target_9.png;sounds/linear_long_9.wav;linear_long
208;1;images/tar_f48.png;images/dtar_f48.png;images/comp_f48.png;images/dcomp_f48.png;sounds/filler_48.wav;filler
225;1;images/tar_f65.png;images/dtar_f65.png;images/comp_f65.png;images/dcomp_f65.png;sounds/filler_65.wav;filler
40;1;images/target_40.png;images/competitor_40.png;images/distarget_40.png;images/discomp_40.png;sounds/nested_long_40.wav;nested_long
104;1;images/target_24.png;images/discomp_24.png;images/distarget_24.png;images/competitor_24.png;sounds/linear_long_24.wav;linear_long
113;1;images/discomp_33.png;images/competitor_33.png;images/target_33.png;images/distarget_33.png;sounds/linear_long_33.wav;linear_long
136;1;images/competitor_16.png;images/distarget_16.png;images/target_16.png;images/discomp_16.png;sounds/linear_short_16.wav;linear_short
170;1;images/tar_f10.png;images/dtar_f10.png;images/comp_f10.png;images/dcomp_f10.png;sounds/filler_10.wav;filler
98;1;images/competitor_18.png;images/distarget_18.png;images/target_18.png;images/discomp_18.png;sounds/linear_long_18.wav;linear_long
212;1;images/tar_f52.png;images/dtar_f52.png;images/comp_f52.png;images/dcomp_f52.png;sounds/filler_52.wav;filler
39;1;images/target_39.png;images/discomp_39.png;images/distarget_39.png;images/competitor_39.png;sounds/nested_long_39.wav;nested_long
6;1;images/target_6.png;images/discomp_6.png;images/competitor_6.png;images/distarget_6.png;sounds/nested_long_6.wav;nested_long
154;1;images/distarget_34.png;images/target_34.png;images/competitor_34.png;images/discomp_34.png;sounds/linear_short_34.wav;linear_short
169;1;images/tar_f9.png;images/dtar_f9.png;images/comp_f9.png;images/dcomp_f9.png;sounds/filler_9.wav;filler
127;1;images/discomp_7.png;images/distarget_7.png;images/competitor_7.png;images/target_7.png;sounds/linear_short_7.wav;linear_short
